date,삼성전자_외국인_억,삼성전자_기관_억,SK하이닉스_외국인_억,SK하이닉스_기관_억
2025-01-31,-9765.473564,1639.5511109999998,-2568.8719040000005,-530.3354410000001
2025-02-28,-2601.879363,2396.3534359999994,2682.182671,-542.687831
2025-03-31,14790.160747999998,-636.1868079999998,-1062.5337989999998,6286.786746
2025-04-30,-27659.162476,236.507606,-26073.111513,7317.681326999999
2025-05-31,-12701.436247,2854.955064,14668.930687,2378.355832
2025-06-30,7093.4825759999985,-2445.627671,14687.852714999999,-5686.903525
2025-07-31,35179.254298,-1809.9580700000008,-1773.1338800000003,-9028.861435
2025-08-31,-11648.978428999999,-2665.751965,379.27729000000016,773.6634849999998
2025-09-30,49322.244992,14151.578917,13851.666115000002,4195.004745
2025-10-31,70333.26105,-7503.650812000002,-45141.91163,13038.49369
2025-11-30,-22056.691353,9034.055398,-86625.28176,25468.719090000002
2025-12-31,14071.482468999999,16493.520361,21837.48774,12504.123539999999
2026-01-31,-42652.479237,-12307.420005000002,-17636.06912,8587.93861
2026-02-28,-145476.602762,41376.784167,-75863.41997,28595.53093
2026-03-31,-179358.961264,-21133.251558,-79981.27822000001,7791.427949999999
2026-04-30,13335.849489000002,15438.286511,8724.522170000002,21289.71392
2026-05-31,-159719.035315,62040.6982,-206717.53043,47013.55401
2026-06-30,-207731.278885,34231.652535,-195426.98644,38200.38709
2026-07-31,-59880.456465,1365.2855650000001,-67323.41526000001,-25913.7804
