date,삼성전자,SK하이닉스,SOX,마이크론,USDKRW
2006-01-31,10341.7451171875,27012.986328125,538.8492431640625,14.315011978149414,948.0800170898438
2006-02-28,9601.0576171875,24108.365234375,522.9369506835938,15.124375343322754,952.760009765625
2006-03-31,8804.4609375,21022.197265625,499.4083557128906,14.354022026062012,964.0900268554688
2006-04-30,9000.1142578125,23926.82421875,516.6599731445312,16.548076629638672,922.469970703125
2006-05-31,8692.658203125,23382.2109375,464.5152282714844,16.148271560668945,937.1799926757812
2006-06-30,8434.3994140625,22329.28515625,441.5063781738281,14.685564041137695,936.4600219726562
2006-07-31,8504.3369140625,23563.75,412.5603942871094,15.202388763427734,941.9500122070312
2006-08-31,9091.806640625,26722.525390625,449.00274658203125,16.85036849975586,950.1500244140625
2006-09-30,9287.6279296875,27194.51953125,454.4801025390625,16.967388153076172,936.3800048828125
2006-10-31,8546.294921875,24834.5234375,457.91845703125,14.09073257446289,925.1500244140625
2006-11-30,8951.9287109375,25705.904296875,478.788330078125,14.2370023727417,919.8099975585938
2006-12-31,8645.486328125,27150.201171875,466.81414794921875,13.612915992736816,916.9400024414062
2007-01-31,8180.0693359375,23207.84765625,458.7080383300781,12.62802505493164,924.0399780273438
2007-02-28,8039.0341796875,23170.65625,473.3209533691406,11.565126419067383,928.5999755859375
2007-03-31,7940.306640625,24100.455078125,465.3448486328125,11.779659271240234,932.3599853515625
2007-04-30,8095.447265625,23840.111328125,492.70159912109375,11.184822082519531,930.5499877929688
2007-05-31,7545.40966796875,21385.435546875,488.02386474609375,11.877168655395508,931.4099731445312
2007-06-30,7989.49560546875,24807.107421875,500.9176330566406,12.218467712402344,921.5599975585938
2007-07-31,8667.048828125,27968.431640625,498.838623046875,11.574877738952637,920.4400024414062
2007-08-31,8342.3896484375,25104.64453125,497.1994323730469,11.165319442749023,937.0999755859375
2007-09-30,8116.53662109375,23282.236328125,499.84814453125,10.824021339416504,911.3900146484375
2007-10-31,7763.64404296875,18596.02734375,463.1658935546875,10.248689651489258,898.6900024414062
2007-11-30,7975.37841796875,19265.48828125,414.3794860839844,8.113141059875488,919.47998046875
2007-12-31,7951.87646484375,19962.9296875,407.8426818847656,7.069745063781738,926.3599853515625
2008-01-31,8509.65234375,20001.392578125,358.8263854980469,6.816209316253662,941.219970703125
2008-02-29,8009.0849609375,18885.93359375,347.88165283203125,7.33303165435791,937.8400268554688
2008-03-31,8910.1083984375,21424.576171875,343.7736511230469,5.821568965911865,992.280029296875
2008-04-30,10168.677734375,20616.83203125,384.9737243652344,7.528058052062988,1002.4000244140625
2008-05-31,10597.734375,23847.8203125,414.99920654296875,7.86935567855835,1029.0999755859375
2008-06-30,8945.435546875,19232.107421875,368.0019226074219,5.8508219718933105,1046.0
2008-07-31,8072.36083984375,16655.01171875,340.69512939453125,4.70991325378418,1010.7000122070312
2008-08-31,7385.3505859375,14924.1220703125,352.6493835449219,4.134580612182617,1088.4000244140625
